NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Pajak;Rp622.700;Rp712.550;Rp512.500;Rp796.000;Rp637.100;Rp568.300;Rp631.000;Rp528.500;Rp584.000;Rp593.500;Rp595.400; Rp- ;Rp6.781.550;
;;Setor;Rp622.700;Rp712.550;Rp512.500;Rp796.000;Rp637.100;Rp568.300;Rp631.000;Rp528.500;Rp584.000;Rp593.500;Rp595.400; Rp- ;Rp6.781.550;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
84;32.78.1.0000225.02.006 / RM. AMPERA I YUDANAGARA/ Jl. Mesjid Agung Kelurahan Yudanagara Kecamatan  Cihideung Kota Tasikmalaya;Omset;Rp101.455.040;Rp105.409.500;Rp92.080.900;Rp125.870.000;Rp113.040.900;Rp90.017.000;Rp91.895.200;Rp95.886.100;Rp91.800.000;Rp100.533.800;Rp100.260.100; Rp- ;Rp1.108.248.540;AKTIF
;;Pajak;Rp10.145.504;Rp10.540.950;Rp9.208.090;Rp12.587.000;Rp11.304.090;Rp9.001.700;Rp9.189.520;Rp9.588.610;Rp9.180.000;Rp10.053.380;Rp10.026.010; Rp- ;Rp110.824.854;
;;Setor;Rp10.145.504;Rp10.540.950;Rp9.208.090;Rp12.587.000;Rp11.304.090;Rp9.001.700;Rp9.189.520;Rp9.588.610;Rp9.180.000;Rp10.053.380;Rp10.026.010; Rp- ;Rp110.824.854;
;;Denda;Rp101.456;Rp105.410;Rp92.081;Rp125.870;Rp113.041;Rp90.017; Rp- ;Rp95.887; Rp- ; Rp- ; Rp- ; Rp- ;Rp622.306;
;;Setor Denda;Rp101.456;Rp105.410;Rp92.081;Rp125.870;Rp113.041;Rp90.017; Rp- ;Rp95.887; Rp- ; Rp- ; Rp- ; Rp- ;Rp622.306;
85;32.78.1.0000226.02.003 / RM. AMPERA II HZ/ Jl. HZ Mustofa Kelurahan Nagarawangi Kecamatan  cihideung Kota  Tasikmalaya;Omset;Rp73.188.060;Rp74.679.800;Rp72.092.500;Rp100.837.900;Rp86.683.000;Rp67.722.100;Rp71.892.200;Rp73.476.700;Rp70.624.700;Rp70.009.800;Rp70.681.200; Rp- ;Rp831.887.960;AKTIF
;;Pajak;Rp7.318.806;Rp7.467.980;Rp7.209.250;Rp10.083.790;Rp8.668.300;Rp6.772.210;Rp7.189.220;Rp7.347.670;Rp7.062.470;Rp7.000.980;Rp7.068.120; Rp- ;Rp83.188.796;
;;Setor;Rp7.318.806;Rp7.467.980;Rp7.209.250;Rp10.083.790;Rp8.668.300;Rp6.772.210;Rp7.189.220;Rp7.347.670;Rp7.062.470;Rp7.000.980;Rp7.068.120; Rp- ;Rp83.188.796;
;;Denda;Rp73.189;Rp74.680;Rp72.093;Rp100.838;Rp86.683;Rp67.723; Rp- ;Rp73.477; Rp- ; Rp- ; Rp- ; Rp- ;Rp475.494;
;;Setor Denda;Rp73.189;Rp74.680;Rp72.093;Rp100.838;Rp86.683;Rp67.723; Rp- ;Rp73.477; Rp- ; Rp- ; Rp- ; Rp- ;Rp475.494;
86;32.78.1.0000239.08.002 / RM. NYIUR INDAH / Jl. Tentara Pelajar Kelurahan Empangsari kecamatan Tawang Kota Tasikmalaya;Omset;Rp13.500.000;Rp14.000.000;Rp14.000.000;Rp15.000.000;Rp14.000.000;Rp12.000.000;Rp13.500.000;Rp13.000.000;Rp12.000.000;Rp13.000.000;Rp13.000.000; Rp- ;Rp147.000.000;AKTIF
;;Pajak;Rp1.350.000;Rp1.400.000;Rp1.400.000;Rp1.500.000;Rp1.400.000;Rp1.200.000;Rp1.350.000;Rp1.300.000;Rp1.200.000;Rp1.300.000;Rp1.300.000; Rp- ;Rp14.700.000;
;;Setor;Rp1.350.000;Rp1.400.000;Rp1.400.000;Rp1.500.000;Rp1.400.000;Rp1.200.000;Rp1.350.000;Rp1.300.000;Rp1.200.000;Rp1.300.000;Rp1.300.000; Rp- ;Rp14.700.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
87;32.78.1.0000243.02.002 / WN. EMPANG JAYA / Jl. Tentara Pelajar  Kelurahan Empang Kecamatan  Tawang Kota Tasikmalaya;Omset;Rp21.000.000;Rp19.750.000;Rp16.650.000;Rp22.150.000;Rp20.950.000;Rp23.100.000;Rp24.250.000;Rp21.600.000;Rp18.050.000;Rp21.450.000;Rp20.500.000; Rp- ;Rp229.450.000;AKTIF
;;Pajak;Rp2.100.000;Rp1.975.000;Rp1.665.000;Rp2.215.000;Rp2.095.000;Rp2.310.000;Rp2.425.000;Rp2.160.000;Rp1.805.000;Rp2.145.000;Rp2.050.000; Rp- ;Rp22.945.000;
;;Setor;Rp2.100.000;Rp1.975.000;Rp1.665.000;Rp2.215.000;Rp2.095.000;Rp2.310.000;Rp2.425.000;Rp2.160.000;Rp1.805.000;Rp2.145.000;Rp2.050.000; Rp- ;Rp22.945.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
88;32.78.1.0000244.02.006 / RM. MUTIARA SEEFOD/ Jl. Yudanegara Kelurahan Yudanagara Kecamatan  Cihideung Kota Tasikmalaya;Omset;Rp108.168.000;Rp106.666.000;Rp100.267.000;Rp114.833.500;Rp78.015.500;Rp106.292.000;Rp103.432.000;Rp100.789.000;Rp105.734.000;Rp104.780.000; Rp- ; Rp- ;Rp1.028.977.000;AKTIF
;;Pajak;Rp10.816.800;Rp10.666.600;Rp10.026.700;Rp11.483.350;Rp7.801.550;Rp10.629.200;Rp10.343.200;Rp10.078.900;Rp10.573.400;Rp10.478.000; Rp- ; Rp- ;Rp102.897.700;
;;Setor;Rp10.816.800;Rp10.666.600;Rp10.026.700;Rp11.483.350;Rp7.801.550;Rp10.629.200;Rp10.343.200;Rp10.078.900;Rp10.573.400;Rp10.478.000; Rp- ; Rp- ;Rp102.897.700;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
89;32.78.1.0000246.02.005 / RM. RANAH PESISIR / Jl. HZ Mustofa Kelurahan Kahuripan Kecamatan  Tawang Kota Tasikmalaya;Omset;Rp5.122.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp5.122.000;AKTIF
;;Pajak;Rp512.200; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp512.200;
;;Setor; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
90;32.78.1.0000249.01.005 / RM. SAUNG GUNUNG JATI / Jl. Mashudi Kelurahan Kotabaru Kecamatan  Cibeureum  Kota Tasikmalaya;Omset;Rp28.704.800;Rp26.471.000;Rp41.635.000;Rp50.025.000;Rp27.075.000;Rp17.275.000;Rp16.520.000;Rp12.425.000;Rp19.620.000;Rp19.566.000;Rp18.677.000; Rp- ;Rp277.993.800;AKTIF
;;Pajak;Rp2.870.480;Rp2.647.100;Rp4.163.500;Rp5.002.500;Rp2.707.500;Rp1.727.500;Rp1.652.000;Rp1.242.500;Rp1.962.000;Rp1.956.600;Rp1.867.700; Rp- ;Rp27.799.380;
;;Setor;Rp2.870.480;Rp2.647.100;Rp4.163.500;Rp5.002.500;Rp2.707.500;Rp1.727.500;Rp1.652.000;Rp1.242.500;Rp1.962.000;Rp1.956.600;Rp1.867.700; Rp- ;Rp27.799.380;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
91;32.78.1.0000254.02.005 / RM. BOROBUDUR / Jl. SL Tobing Kelurahan Tuguraja Kecamatan  Cihideung  Kota Tasikmalaya;Omset;Rp2.000.000;Rp1.950.000;Rp2.260.000;Rp1.600.000;Rp2.650.000;Rp3.040.000;Rp2.470.000;Rp3.220.000;Rp2.740.000;Rp2.917.000;Rp2.900.000; Rp- ;Rp27.747.000;AKTIF
;;Pajak;Rp200.000;Rp195.000;Rp226.000;Rp160.000;Rp265.000;Rp304.000;Rp247.000;Rp322.000;Rp274.000;Rp291.700;Rp290.000; Rp- ;Rp2.774.700;
;;Setor;Rp200.000;Rp195.000;Rp226.000;Rp160.000;Rp265.000;Rp304.000;Rp247.000;Rp322.000;Rp274.000;Rp291.700;Rp290.000; Rp- ;Rp2.774.700;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
92;32.78.1.0000255.06.005 / RM. SATE CIREBON / Jl. IR H Juanda Kelurahan Linggajaya Kecamatan  Mangkubumi Kota Tasikmalaya;Omset;Rp10.000.000;Rp11.000.000;Rp10.000.000;Rp11.000.000; Rp- ;Rp10.000.000; Rp- ;Rp11.000.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp63.000.000;AKTIF
;;Pajak;Rp1.000.000;Rp1.100.000;Rp1.000.000;Rp1.100.000; Rp- ;Rp1.000.000; Rp- ;Rp1.100.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.300.000;
;;Setor;Rp1.000.000;Rp1.100.000;Rp1.000.000;Rp1.100.000; Rp- ;Rp1.000.000; Rp- ;Rp1.100.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.300.000;
;;Denda;Rp10.000;Rp22.000;Rp70.000;Rp66.000; Rp- ;Rp40.000; Rp- ;Rp22.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp220.000;
;;Setor Denda;Rp10.000;Rp22.000;Rp70.000;Rp66.000; Rp- ;Rp40.000; Rp- ;Rp22.000; Rp- ; Rp- ; Rp- ; Rp- ;Rp220.000;
93;32.78.1.0000278.04.006 / RM.SAUNG RANGON / Jl. Leuwidahu Kelurahan Parakanyasag Kecamatan  Indihiang Kota Tasikmalaya;Omset;Rp260.039.700;Rp257.595.000;Rp217.509.000;Rp198.320.200;Rp226.784.000;Rp238.804.000;Rp261.058.000;Rp243.205.000;Rp204.750.000; Rp- ; Rp- ; Rp- ;Rp2.108.064.900;AKTIF
;;Pajak;Rp26.003.970;Rp25.759.500;Rp21.750.900;Rp19.832.020;Rp22.678.400;Rp23.880.400;Rp26.105.800;Rp24.320.500;Rp20.475.000; Rp- ; Rp- ; Rp- ;Rp210.806.490;
;;Setor;Rp26.003.970;Rp25.759.500;Rp21.750.900;Rp19.832.020;Rp22.678.400;Rp23.880.400;Rp26.105.800;Rp24.320.500;Rp20.475.000; Rp- ; Rp- ; Rp- ;Rp210.806.490;
;;Denda;Rp260.040;Rp257.595;Rp217.509; Rp- ;Rp226.784;Rp238.804; Rp- ;Rp243.205; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.183.897;
;;Setor Denda;Rp260.040;Rp257.595;Rp217.509; Rp- ;Rp226.784;Rp238.804; Rp- ;Rp243.205; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.183.897;
94;32.78.1.0000283.08.001 / RM. MINANG SETIA LETNAN HARUN / Jl. Letnan Harun Kelurahan Sukarindik Kecamatan  Bungursari  Kota Tasikmalaya;Omset;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000; Rp- ; Rp- ;Rp10.000.000;AKTIF
;;Pajak;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000; Rp- ; Rp- ;Rp1.000.000;
;;Setor;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000; Rp- ; Rp- ;Rp1.000.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
95;32.78.1.0000302.08.002 / RM. KING / Jl. RSU no 50 rt 01/09 Kelurahan Empangsari Kecamatan  Tawang KotaTasikmalaya;Omset;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000;Rp3.000.000; Rp- ;Rp33.000.000;AKTIF
;;Pajak;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000; Rp- ;Rp3.300.000;
;;Setor;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000;Rp300.000; Rp- ;Rp3.300.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
96;32.78.1.0000303.08.001 / RM. PEPES JEMBAR/ Jl. Laswi  Kelurahan Cikalang Kecamatan  Tawang Kota Tasikmalaya;Omset;Rp79.920.000;Rp75.730.000;Rp85.820.000;Rp86.300.000;Rp68.400.000;Rp76.950.000;Rp78.560.000;Rp76.120.000;Rp69.110.000;Rp65.090.000;Rp70.540.000; Rp- ;Rp832.540.000;AKTIF
;;Pajak;Rp7.992.000;Rp7.573.000;Rp8.582.000;Rp8.630.000;Rp6.840.000;Rp7.695.000;Rp7.856.000;Rp7.612.000;Rp6.911.000;Rp6.509.000;Rp7.054.000; Rp- ;Rp83.254.000;
;;Setor;Rp7.992.000;Rp7.573.000;Rp8.582.000;Rp8.630.000;Rp6.840.000;Rp7.695.000;Rp7.856.000;Rp7.612.000;Rp6.911.000;Rp6.509.000;Rp7.054.000; Rp- ;Rp83.254.000;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
97;32.78.1.0000316.08.005 / WONG SOLO / Jl. Mesjid Agung No. 12  Kel. Tawangsari Kec. Tawang Kota Tasikmalaya;Omset;Rp69.896.000;Rp67.379.000;Rp64.969.000;Rp68.043.000;Rp68.602.000;Rp64.033.000;Rp66.327.000;Rp63.931.000;Rp61.696.000;Rp62.875.000;Rp63.265.500; Rp- ;Rp721.016.500;AKTIF
;;Pajak;Rp6.989.600;Rp6.737.900;Rp6.496.900;Rp6.804.300;Rp6.860.200;Rp6.403.300;Rp6.632.700;Rp6.393.100;Rp6.169.600;Rp6.287.500;Rp6.326.550; Rp- ;Rp72.101.650;
;;Setor;Rp6.989.600;Rp6.737.900;Rp6.496.900;Rp6.804.300;Rp6.860.200;Rp6.403.300;Rp6.632.700;Rp6.393.100;Rp6.169.600;Rp6.287.500;Rp6.326.550; Rp- ;Rp72.101.650;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
98;32.78.1.0000356.02.006 /  MAYASI I / Jl. Pasar Wetan Komplek Mayasari Plaza;Omset;Rp51.608.090;Rp51.608.090;Rp40.801.477;Rp48.730.295;Rp60.038.945;Rp40.279.432;Rp41.873.523;Rp41.738.727;Rp31.248.795;Rp30.099.386;Rp37.130.000; Rp- ;Rp475.156.760;AKTIF
;;Pajak;Rp5.160.809;Rp5.160.809;Rp4.080.148;Rp4.873.030;Rp6.003.895;Rp4.027.943;Rp4.187.352;Rp4.173.873;Rp3.124.880;Rp3.009.939;Rp3.713.000; Rp- ;Rp47.515.678;
;;Setor;Rp5.160.809;Rp5.160.809;Rp4.080.148;Rp4.873.030;Rp6.003.895;Rp4.027.943;Rp4.187.352;Rp4.173.873;Rp3.124.880;Rp3.009.939; Rp- ; Rp- ;Rp43.802.678;
;;Denda; Rp- ; Rp- ;Rp40.802; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp40.802;
;;Setor Denda; Rp- ; Rp- ;Rp40.802; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp40.802;
99;32.78.1.0000357.02.006 /MAYASI III / Jln. Yudanegara Kelurahan Yudanegara Kecamatan Cihideung Kota Tasikmalaya;Omset;Rp29.167.775;Rp25.183.773;Rp24.203.932;Rp31.796.182;Rp39.129.300;Rp32.009.616;Rp35.781.255;Rp33.546.145;Rp30.771.445;Rp30.637.964;Rp36.800.291; Rp- ;Rp349.027.678;AKTIF
;;Pajak;Rp2.916.778;Rp2.518.377;Rp2.420.393;Rp3.179.618;Rp3.912.930;Rp3.200.962;Rp3.578.126;Rp3.354.615;Rp3.077.145;Rp3.063.796;Rp3.680.029; Rp- ;Rp34.902.769;
;;Setor;Rp2.916.778;Rp2.518.377;Rp2.420.393;Rp3.179.618;Rp3.912.930;Rp3.200.962;Rp3.578.126;Rp3.354.615;Rp3.077.145;Rp3.063.796; Rp- ; Rp- ;Rp31.222.740;
;;Denda; Rp- ; Rp- ;Rp24.204; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp24.204;
;;Setor Denda; Rp- ; Rp- ;Rp24.204; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp24.204;
100;32.78.1.0000398.05.006 / RM. ABAH ABUY/ Jl. Suaka Kelurahan Kersamenak Kecamatan  Kawalu  Tasikmalaya;Omset;Rp1.000.000;Rp1.000.000;Rp1.000.000; Rp- ;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000;Rp1.000.000; Rp- ;Rp10.000.000;AKTIF
;;Pajak;Rp100.000;Rp100.000;Rp100.000; Rp- ;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000; Rp- ;Rp1.000.000;
;;Setor;Rp100.000;Rp100.000;Rp100.000; Rp- ;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000;Rp100.000; Rp- ;Rp1.000.000;
;;Denda; Rp- ; Rp- ;Rp1.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.000;
;;Setor Denda; Rp- ; Rp- ;Rp1.000; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.000;
101;32.78.1.0000404.04.005 / RM. GENAH CALIK / IR. H Juanda no 14 RT:- Kelurahan Panyingkiran Kecamatan  Indihiang Tasikmalaya;Omset;Rp7.255.500;Rp7.044.750;Rp6.553.000;Rp6.148.500; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp27.001.750;TUTUP
;;Pajak;Rp725.550;Rp704.475;Rp655.300;Rp614.850; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.700.175;
;;Setor;Rp725.550;Rp704.475;Rp655.300;Rp614.850; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp2.700.175;
;;Denda;Rp14.511;Rp7.045;Rp39.318;Rp30.743; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp77.106;
;;Setor Denda;Rp14.511;Rp7.045;Rp39.318;Rp30.743; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;Rp77.106;
102;32.78.1.0000418.09.001 / RM. KAMPUNG JEMBAR/ Jl. Letnan Harun RT:- Kelurahan Sukamulya Kecamatan  Bungursari Tasikmalaya;Omset;Rp217.050.000;Rp191.585.000;Rp253.680.000;Rp251.291.000;Rp186.185.000;Rp153.150.000;Rp159.042.000;Rp168.921.000;Rp164.345.000;Rp161.172.000;Rp151.260.000; Rp- ;Rp2.057.681.000;AKTIF
;;Pajak;Rp21.705.000;Rp19.158.500;Rp25.368.000;Rp25.129.100;Rp18.618.500;Rp15.315.000;Rp15.904.200;Rp16.892.100;Rp16.434.500;Rp16.117.200;Rp15.126.000; Rp- ;Rp205.768.100;
;;Setor;Rp21.705.000;Rp19.158.500;Rp25.368.000;Rp25.129.100;Rp18.618.500;Rp15.315.000;Rp15.904.200;Rp16.892.100;Rp16.434.500;Rp16.117.200;Rp15.126.000; Rp- ;Rp205.768.100;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
103;32.78.1.0000419.01.004 / RM. LEMBUR KONANG / Jl. Letjen Mashudi RT:- Kelurahan Kersanagara Kecamatan  Cibeureum Tasikmalaya;Omset;Rp70.572.100;Rp70.604.900;Rp70.011.100;Rp70.058.100;Rp71.367.000;Rp70.604.900;Rp69.863.200;Rp71.358.700; Rp- ; Rp- ; Rp- ; Rp- ;Rp564.440.000;AKTIF
;;Pajak;Rp7.057.210;Rp7.060.490;Rp7.001.110;Rp7.005.810;Rp7.136.700;Rp7.060.490;Rp6.986.320;Rp7.135.870; Rp- ; Rp- ; Rp- ; Rp- ;Rp56.444.000;
;;Setor;Rp7.057.210;Rp7.060.490;Rp7.001.110;Rp7.005.810;Rp7.136.700;Rp7.060.490;Rp6.986.320;Rp7.135.870; Rp- ; Rp- ; Rp- ; Rp- ;Rp56.444.000;
;;Denda;Rp282.289;Rp211.815;Rp210.034;Rp140.117;Rp142.734;Rp141.210;Rp139.727;Rp142.718; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.128.355;
;;Setor Denda;Rp282.289;Rp211.815;Rp210.034;Rp140.117;Rp142.734;Rp141.210;Rp139.727;Rp142.718; Rp- ; Rp- ; Rp- ; Rp- ;Rp1.128.355;
104;32.78.1.0000434.08.004 / RM. NINI ANTEH / Jl. Dewi Sartika RT:- Kelurahan Lengkongsari  Kecamatan  Tawang Tasikmalaya;Omset;Rp32.677.720;Rp32.779.360;Rp29.071.060;Rp28.882.380;Rp32.146.650;Rp35.098.320;Rp33.195.040;Rp34.478.320;Rp34.560.470;Rp33.625.700;Rp34.581.510; Rp- ;Rp361.096.530;AKTIF
;;Pajak;Rp3.267.772;Rp3.277.936;Rp2.907.106;Rp2.888.238;Rp3.214.665;Rp3.509.832;Rp3.319.504;Rp3.447.832;Rp3.456.047;Rp3.362.570;Rp3.458.151; Rp- ;Rp36.109.653;
;;Setor;Rp3.267.772;Rp3.277.936;Rp2.907.106;Rp2.888.238;Rp3.214.665;Rp3.509.832;Rp3.319.504;Rp3.447.832;Rp3.456.047;Rp3.362.570;Rp3.458.151; Rp- ;Rp36.109.653;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
105;32.78.1.0000435.08.002 / BERLINER BROT FABRIK / Jl. Mayor utarya No. 46 Kelurahan Empangsari Kecamatan  Tawang Tasikmalaya;Omset;Rp20.179.000;Rp13.727.900;Rp15.561.900;Rp14.255.100;Rp21.984.700;Rp18.493.340;Rp27.935.330;Rp18.511.240;Rp18.208.500;Rp15.826.000; Rp- ; Rp- ;Rp184.683.010;AKTIF
;;Pajak;Rp2.017.900;Rp1.372.790;Rp1.556.190;Rp1.425.510;Rp2.198.470;Rp1.849.334;Rp2.793.533;Rp1.851.124;Rp1.820.850;Rp1.582.600; Rp- ; Rp- ;Rp18.468.301;
;;Setor;Rp2.017.900;Rp1.372.790;Rp1.556.190;Rp1.425.510;Rp2.198.470;Rp1.849.334;Rp2.793.533;Rp1.851.124;Rp1.820.850; Rp- ; Rp- ; Rp- ;Rp16.885.701;
;;Denda; Rp- ;Rp27.456;Rp15.562;Rp42.766;Rp43.970;Rp18.494; Rp- ;Rp37.023;Rp18.209; Rp- ; Rp- ; Rp- ;Rp203.480;
;;Setor Denda; Rp- ;Rp27.456;Rp15.562;Rp42.766;Rp43.970;Rp18.494; Rp- ;Rp37.023;Rp18.209; Rp- ; Rp- ; Rp- ;Rp203.480;
106;32.78.1.0000466.07.005 / RM. SARI RASA SAMBEL TOMAT HEJO / Jl. Letjen Mashudi RT:- Kelurahan Sukahurip Kecamatan  Tamansari Tasikmalaya;Omset;Rp88.506.000;Rp95.880.500;Rp144.758.500;Rp313.024.600;Rp103.934.500;Rp98.677.500;Rp66.050.000;Rp68.650.000;Rp64.500.000;Rp66.000.000; Rp- ; Rp- ;Rp1.109.981.600;AKTIF
