NO;NPWPD / NAMA WP / ALAMAT;KET.;DESEMBER;JANUARI;PEBRUARI;MARET;APRIL;MEI;JUNI;JULI;AGUSTUS;SEPTEMBER;OKTOBER;NOPEMBER;JUMLAH;STATUS
;;Setor Denda;Rp1.822.132;Rp1.310.453;Rp930.972;Rp1.037.835;Rp1.211.058;Rp596.445;Rp710.934;Rp699.356; Rp- ; Rp- ; Rp- ; Rp- ;Rp6.497.053;
6;32.78.1.0000313.02.001 / MC. DONALDS MAYASARI PLAZA / Jl. Pasar Wetan Komplek Mayasari Plaza Kelurahan Argasari Kecamatan  Cihideung  Kota Tasikmalaya;Omset;Rp95.970.883;Rp77.704.948;Rp74.054.054;Rp40.943.454;Rp135.801.868;Rp63.209.860;Rp77.614.663;Rp98.784.240;Rp53.192.243;Rp52.590.195;Rp73.111.913; Rp- ;Rp842.978.321;AKTIF
;;Pajak;Rp9.597.088;Rp7.770.495;Rp7.405.405;Rp4.094.345;Rp13.580.187;Rp6.320.986;Rp7.761.466;Rp9.878.424;Rp5.319.224;Rp5.259.020;Rp7.311.191; Rp- ;Rp84.297.831;
;;Setor;Rp9.597.088;Rp7.770.495;Rp7.405.405;Rp4.094.345;Rp13.580.187;Rp6.320.986;Rp7.761.466;Rp9.878.424;Rp5.319.224;Rp5.259.020;Rp7.311.191; Rp- ;Rp84.297.831;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
7;32.78.1.0000315.02.001 / PIZZA HUT / Jl. HZ Mustofa Komplek Asia Plaza Kelurahan Argasari Kecamatan Cihideung  Kota Tasikmalaya;Omset;Rp569.734.220;Rp490.544.730;Rp440.370.990;Rp435.590.690;Rp888.352.170;Rp510.413.490;Rp561.934.360;Rp446.614.610;Rp410.697.790;Rp379.111.720;Rp394.596.010; Rp- ;Rp5.527.960.780;AKTIF
;;Pajak;Rp56.973.422;Rp49.054.473;Rp44.037.099;Rp43.559.069;Rp88.835.217;Rp51.041.349;Rp56.193.436;Rp44.661.461;Rp41.069.779;Rp37.911.172;Rp39.459.601; Rp- ;Rp552.796.078;
;;Setor;Rp56.973.422;Rp49.054.473;Rp44.037.099;Rp43.559.069;Rp88.835.217;Rp51.041.349;Rp56.193.436;Rp44.661.461;Rp41.069.779;Rp37.911.172;Rp39.459.601; Rp- ;Rp552.796.078;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
8;32.78.1.0000376.02.004 / KAFETARIA ASRI / Jl.Hz.Mustofa Kelurahan Tugujaya Kecamatan  Cihideung  Kota Tasikmalaya;Omset;Rp132.788.000;Rp127.147.500;Rp103.017.810;Rp112.759.510;Rp121.754.165;Rp121.664.780;Rp122.120.200;Rp112.722.030;Rp100.821.100;Rp102.823.150;Rp102.724.300; Rp- ;Rp1.260.342.545;AKTIF
;;Pajak;Rp13.278.800;Rp12.714.750;Rp10.301.781;Rp11.275.951;Rp12.175.417;Rp12.166.478;Rp12.212.020;Rp11.272.203;Rp10.082.110;Rp10.282.315;Rp10.272.430; Rp- ;Rp126.034.255;
;;Setor;Rp13.278.800;Rp12.714.750;Rp10.301.781;Rp11.275.951;Rp12.175.417;Rp12.166.478;Rp12.212.020;Rp11.272.203;Rp10.082.110;Rp10.282.315;Rp10.272.430; Rp- ;Rp126.034.255;
;;Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
;;Setor Denda; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ; Rp- ;
9;32.78.1.0000379.08.002 / SAMUDRA RESTO / JL. TENTARA PELAJAR NO 98 RT:01 Kelurahan Empangsari Kecamatan Tawang  Tasikmalaya;Omset;Rp21.446.900;Rp23.816.700;Rp21.355.950;Rp24.853.700;Rp20.125.790;Rp20.004.700;Rp20.684.800;Rp20.088.500;Rp20.054.500;Rp20.017.600; Rp- ; Rp- ;Rp212.449.140;AKTIF
