NAMA_WP,Kategori,Total_Omset_12Bulan,Total_Pajak_12Bulan,Efektivitas_Pajak,Risk_Label,prediction,Segmentasi
ROEDJAK BALI,Resto Umum,18754796,2200820.212232018,11.734698708896502,0,0,Silver (Small)
TODAY'S CAFÉ,Resto Umum,690317268,80458785.4450993,11.655334116089241,0,0,Silver (Small)
NOTRE,Resto Umum,1455455398,169629262.43002975,11.654720664374716,0,0,Silver (Small)
KAMANDARA RESTO,Resto Umum,1213248000,141435622.56824002,11.657601839799266,0,0,Silver (Small)
PULL AND SHOT COFFEE,Cafe,10054453830,1171916553.5655484,11.655695793939161,0,2,Gold (Middle)
YASMIN CAFE,Cafe,38320000,4466577.912151978,11.655992989125313,0,0,Silver (Small)
PASINI COFFEE,Cafe,347878250,40662061.11799339,11.688589245048428,0,0,Silver (Small)
KOKUMI,Resto Umum,17204000,2010788.1884964139,11.687902731621055,0,0,Silver (Small)
NARASSI COFFEE,Cafe,200000000,23534227.934891123,11.767113261418768,0,0,Silver (Small)
KOPI SILOKA 2,Cafe,773611490,90209037.88795273,11.660767407766997,0,0,Silver (Small)
"SOP BUAH PRIBUMI 2
Jl. Letnan Harun No. 1",Resto Umum,204540000,23878276.935002323,11.674134904716015,0,0,Silver (Small)
NINETY3 COFFEE,Cafe,18434300,2169230.347750121,11.767351815191805,0,0,Silver (Small)
SECANGKIR KOPI,Cafe,111776000,13029488.402785141,11.656784107474815,0,0,Silver (Small)
TEKUN.ID,Resto Umum,264936000,30861222.922329836,11.648557207968329,0,0,Silver (Small)
YANG CAFE,Cafe,238914000,27827671.9718163,11.647567984340869,0,0,Silver (Small)
SUMUR SI DOEL,Resto Umum,6000000,733392.9124177222,12.223190760580515,0,0,Silver (Small)
ROEMAH,Resto Umum,367373640,42886909.0191808,11.673920757708775,0,0,Silver (Small)
KOPI KENANGAN ASIA PLAZA,Cafe,3727097980,434163236.75861096,11.64882806114884,0,2,Gold (Middle)
KOPI KENANGAN SPBU RANCABANGO,Cafe,2398173200,279349272.20979166,11.64841933901944,0,0,Silver (Small)
MIXUE TENTARA PELAJAR,Resto Umum,240156000,28015955.767945036,11.665731594487436,0,0,Silver (Small)
MIXUE UNSIL,Resto Umum,233494544,27202880.126193475,11.650327353325304,0,0,Silver (Small)
STARBUCKS TASIK,Resto Umum,2562797346,298534712.94377136,11.648783389442348,0,0,Silver (Small)
WAROENG STEAK INDONESIA,Resto Umum,4232447462,493033233.45085645,11.6488919586024,0,2,Gold (Middle)
CHILLER CAFÉ,Resto Umum,539814000,62966280.751957886,11.664439853769096,0,0,Silver (Small)
48 STREET ISLAND,Resto Umum,748051566,87189681.38562994,11.655570812208078,0,0,Silver (Small)
SEBLAK NOYA,Resto Umum,8000000,933916.636731663,11.673940448235117,0,0,Silver (Small)
WAFFELICIOUS,Resto Umum,341961000,39847118.56540144,11.652532647611139,0,0,Silver (Small)
CHICK-CHICK,Resto Umum,1825318350,212651131.17014638,11.650084478257519,0,0,Silver (Small)
POTATOES KING,Resto Umum,2710000,331251.8737577144,12.223262249676916,0,0,Silver (Small)
DHAPUR DESA,Resto Umum,57445500,6710085.211169357,11.680782323202825,0,0,Silver (Small)
STEAK MOEN MOEN,Resto Umum,2621096176,305384155.5611752,11.651009106773582,0,0,Silver (Small)
KEDAI TJINERE Dr. Moch. Hatta No. 16,Resto Umum,150151182,17668169.030136943,11.766918769981238,0,0,Silver (Small)
AYAM KRIUK PADASUKA AP,Resto Umum,144894700,16887616.326652046,11.655094995221113,0,0,Silver (Small)
MIE RICA 99,Lokal,32909400,3837333.8907765746,11.66029308204162,0,0,Silver (Small)
MONSTER GREEN TEA 99,Resto Umum,11000000,1281235.098560321,11.6475790986439,0,0,Silver (Small)
LEKKER DOUGHNUTS,Resto Umum,15626300,1848921.2489624785,11.832102475379209,0,0,Silver (Small)
MIXUE MARTADINATA,Resto Umum,19350000,2365181.017576303,12.22315013332448,0,0,Silver (Small)
HUKO BOWL,Resto Umum,277586302,32335209.100364354,11.648704373935509,0,0,Silver (Small)
TEH UPET ISLAND AP,Resto Umum,129960000,15146714.19977015,11.654903663574725,0,0,Silver (Small)
PAN & CO,Resto Umum,42132874,5149962.484627242,12.223142000353931,0,0,Silver (Small)
FORE COFFEE YOGYA TASIKMALAYA,Cafe,5339603650,622110431.1440984,11.650872808621173,0,2,Gold (Middle)
VELOCE,Resto Umum,230731160,26907313.944782775,11.661759315634548,0,0,Silver (Small)
